date,organization,count,rn
2020-02-01,Centers For Disease,1,10
2020-02-01,Health Department,1,11
2020-02-01,Kansas Department Of Health,1,12
2020-02-01,American Airlines,2,2
2020-02-01,Associated Press,2,3
2020-02-01,Confucius Institute,2,4
2020-02-01,Confucius Institute Facebook,2,5
2020-02-01,Delta Air Lines,2,6
2020-02-01,Missouri University Of Science Technology,2,7
2020-02-01,Mu Confucius Institute,2,8
2020-02-01,University Of Missouri,2,9
2020-02-01,World Health Organization,3,1
2020-02-02,Baptist University,3,1
2020-02-02,Missouri Department Of Health,3,2
2020-02-02,Morris,3,3
2020-02-02,New York Times,3,4
2020-02-02,Senior Services,3,5
2020-02-03,Centers For Disease,2,1
2020-02-03,Missouri Department Of Health,2,2
2020-02-03,Senior Services,2,3
2020-02-03,United States,2,4
2020-02-03,World Health Organization,2,5
2020-02-04,Chicago Board Of Trade,1,1
2020-02-04,National Weather Service,1,2
2020-02-04,World Health Organization,1,3
2020-02-06,Cattle Convention,1,1
2020-02-06,Cattle Industry Convention,1,2
2020-02-06,Cattlemen College,1,3
2020-02-06,Department Of Agriculture,1,4
2020-02-06,Mcdonalds,1,5
2020-02-06,Morgan,1,6
2020-02-06,Noble Research Institute,1,7
2020-02-06,Texas A M University,1,8
2020-02-06,University Of Missouri,1,9
2020-02-10,United States,2,4
2020-02-10,Centers For Disease,4,1
2020-02-10,Missouri Department Of Health,4,2
2020-02-10,Senior Services,4,3
2020-02-11,Centers For Disease,1,1
2020-02-11,Holiday Inn Expo Center,1,2
2020-02-11,Missouri Department Of Health,1,3
2020-02-11,Missouri Pork Association,1,4
2020-02-11,Senior Services,1,5
2020-02-12,Centers For Disease,1,2
2020-02-12,Columbia Holiday Inn Executive Center,1,3
2020-02-12,Defense Department,1,4
2020-02-12,Expo Center,1,5
2020-02-12,Holiday Inn Executive Center Is Competing,1,6
2020-02-12,Missouri Department Of Health,1,7
2020-02-12,Missouri Pork Association,1,8
2020-02-12,Missouri School Of Journalism,1,9
2020-02-12,Senior Services,1,10
2020-02-12,United States,2,1
2020-02-13,Kaiser Health News,1,11
2020-02-13,United States,1,12
2020-02-13,World Health Organization,1,13
2020-02-13,Missouri Legislature,2,10
2020-02-13,America Health,4,3
2020-02-13,City Health Officials,4,4
2020-02-13,Missouri Division Of Community,4,5
2020-02-13,Missouri Hospital Association,4,6
2020-02-13,National Guard,4,7
2020-02-13,Public Health,4,8
2020-02-13,University Of Iowa,4,9
2020-02-13,Missouri Department Of Health,5,1
2020-02-13,Senior Services,5,2
2020-02-14,America Health,1,1
2020-02-14,City Health Officials,1,2
2020-02-14,Missouri Department Of Health,1,3
2020-02-14,Missouri Division Of Community,1,4
2020-02-14,Missouri Hospital Association,1,5
2020-02-14,National Guard,1,6
2020-02-14,Public Health,1,7
2020-02-14,Senior Services,1,8
2020-02-14,University Of Iowa,1,9
2020-02-15,Bloomberg,1,17
2020-02-15,Catholic Church,1,18
2020-02-15,Business School Shih,3,1
2020-02-15,Chinese Catholic Patriotic Association,3,2
2020-02-15,Clinton Administration,3,3
2020-02-15,Democratic National Committee,3,4
2020-02-15,Department Of Justice,3,5
2020-02-15,Goldman Sachs Group Inc,3,6
2020-02-15,Justice Department,3,7
2020-02-15,National Security Adviser Michael Flynn,3,8
2020-02-15,New York Post,3,9
2020-02-15,Obama Administration,3,10
2020-02-15,San Francisco National,3,11
2020-02-15,Trump State Of The Union,3,12
2020-02-15,Twitter,3,13
2020-02-15,United States,3,14
2020-02-15,Us Army,3,15
2020-02-15,White House,3,16
2020-02-16,America Health,1,1
2020-02-16,Bastyr University In Seattle,1,2
2020-02-16,Bureau Of Consumer Protection,1,3
2020-02-16,Chinese Performing Art Group,1,4
2020-02-16,City Health Officials,1,5
2020-02-16,Missouri Department Of Health,1,6
2020-02-16,Missouri Division Of Community,1,7
2020-02-16,Missouri Hospital Association,1,8
2020-02-16,National Guard,1,9
2020-02-16,Public Health,1,10
2020-02-16,Scholars Association,1,11
2020-02-16,Senior Services,1,12
2020-02-16,United States,1,13
2020-02-16,University Of Iowa,1,14
2020-02-17,America Health,1,1
2020-02-17,City Health Officials,1,2
2020-02-17,Missouri Department Of Health,1,3
2020-02-17,Missouri Division Of Community,1,4
2020-02-17,Missouri Hospital Association,1,5
2020-02-17,National Guard,1,6
2020-02-17,Public Health,1,7
2020-02-17,Senior Services,1,8
2020-02-17,University Of Iowa,1,9
2020-02-18,America Health,1,1
2020-02-18,Associated Press,1,2
2020-02-18,Boy Scouts,1,3
2020-02-18,City Health Officials,1,4
2020-02-18,Cnn,1,5
2020-02-18,Duke University On,1,6
2020-02-18,Huawei,1,7
2020-02-18,Justice Department,1,8
2020-02-18,Missouri Department Of Health,1,9
2020-02-18,Missouri Division Of Community,1,10
2020-02-18,Missouri Hospital Association,1,11
2020-02-18,National Guard,1,12
2020-02-18,New York Times,1,13
2020-02-18,Paul Allen Foundation,1,14
2020-02-18,Public Health,1,15
2020-02-18,Reuters,1,16
2020-02-18,Senior Services,1,17
2020-02-18,United States,1,18
2020-02-18,University Of Iowa,1,19
2020-02-18,White House,1,20
2020-02-18,White House National Security Counsel,1,21
2020-02-19,Paul Allen Foundation,1,1
2020-02-20,Associated Press,1,6
2020-02-20,Cnn,1,7
2020-02-20,Health Department,1,8
2020-02-20,Missouri Department Of Health,1,9
2020-02-20,San Antonio,1,10
2020-02-20,Senior Services,1,11
2020-02-20,Travis Air Force,1,12
2020-02-20,Washington University,1,13
2020-02-20,World Health Organization,1,14
2020-02-20,Centers For Disease,2,4
2020-02-20,United States,2,5
2020-02-20,Missouri Air Conservation Commission,4,1
2020-02-20,Missouri Clean Water Commission,4,2
2020-02-20,Missouri Supreme Court,4,3
2020-02-21,American Councils For International Education,1,6
2020-02-21,Arizona State University,1,7
2020-02-21,Chinese Language Flagship Program,1,8
2020-02-21,Department Of Health,1,9
2020-02-21,Facebook,1,10
2020-02-21,Instagram,1,11
2020-02-21,Korea Shincheonji Church,1,12
2020-02-21,Mississippi State Department Of Health,1,13
2020-02-21,New York Times,1,14
2020-02-21,Senate Committee On Public Services,1,15
2020-02-21,Twitter,1,16
2020-02-21,United States,1,17
2020-02-21,United States Congress,1,18
2020-02-21,University Of Southern California,1,19
2020-02-21,University Of Spoiled Children,1,20
2020-02-21,Missouri National Guard,5,3
2020-02-21,Tribune Content Agency,5,4
2020-02-21,World Health Organization,5,5
2020-02-21,China National Health Commission,6,2
2020-02-21,Louis University,10,1
2020-02-24,American Steel Nail Coalition,1,1
2020-02-24,Bloomberg,1,2
2020-02-24,Commerce Department,1,3
2020-02-24,European Union,1,4
2020-02-24,Members Of The American Steel Nail Coalition,1,5
2020-02-24,New York Times,1,6
2020-02-24,Oman Fasteners,1,7
2020-02-24,Pacific Partnership,1,8
2020-02-24,South China Morning Post,1,9
2020-02-24,Twitter,1,10
2020-02-24,United States,1,11
2020-02-24,World Trade Organization,1,12
