date,organization,count,rn
2020-03-13,Texas Court,1,9
2020-03-13,Circuit Court,2,1
2020-03-13,Georgia Supreme Court On,2,2
2020-03-13,International Trade In Manhattan,2,3
2020-03-13,Iowa Supreme Court,2,4
2020-03-13,Jersey District Court,2,5
2020-03-13,Massachusetts District Court,2,6
2020-03-13,Pennsylvania Judicial Center,2,7
2020-03-13,Texas Supreme Court,2,8
2020-03-17,White House,1,1
2020-03-18,White House,1,1
2020-03-28,Drug Administration,2,1
2020-03-28,Fraud Task,2,2
2020-03-28,Virginia Health,2,3
2020-04-02,Atrium Health Cleveland,1,1
2020-04-02,Bull Run Middle School In Gainesville,1,2
2020-04-02,Elementary School In Kings Mountain,1,3
2020-04-02,Instagram,1,4
2020-04-02,Mount Olive Baptist Church,1,5
2020-04-02,Word Alive Church International In Manassas,1,6
2020-04-03,Virginia Department Of Health,1,1
2020-04-03,Young,1,2
2020-04-09,Virginia Department Health,1,1
2020-05-01,Centers For Disease,1,1
2020-05-03,Centers For Disease,1,1
2020-05-06,Blue Ridge Behavioral Health,1,1
2020-05-06,Community Health Center,1,2
2020-05-06,Department Of Health,1,3
2020-05-06,Facebook,1,4
2020-05-06,Giles High School,1,5
2020-05-06,Health Department,1,6
2020-05-06,National Nurses Day,1,7
2020-05-06,River Valley Public Health Task,1,8
2020-05-06,Salem Downtown Merchants Association,1,9
2020-05-06,Ymca,1,10
2020-05-07,Giles High School,1,1
2020-05-07,Virginia Department Of Health,1,2
2020-05-10,Morgan,1,7
2020-05-10,Floyd High School,2,1
2020-05-10,Giles High School,2,2
2020-05-10,Radford Rec Center,2,3
2020-05-10,Radford Recreation Center,2,4
2020-05-10,Virginia Department Of Health,2,5
2020-05-10,Virginia Harm Reduction Coalition,2,6
2020-05-22,Shenandoah National Park,1,1
2020-05-22,Walmart,1,2
2020-05-23,Shenandoah National Park,1,1
2020-05-23,Walmart,1,2
2020-05-31,Bull Run Library,1,1
2020-05-31,George Mason University Student,1,2
2020-05-31,Manassas Campus Of Northern Virginia Community College,1,3
2020-05-31,Prince William County Police Department,1,4
2020-05-31,Red Lobster,1,5
2020-05-31,Stonewall Jackson High School,1,6
2020-05-31,Twitter,1,7
2020-05-31,Virginia State Police,1,8
2020-05-31,Virignia State Police,1,9
2020-06-07,A Southern Poverty Law Center,1,1
2020-06-07,Alliance Of American Klans,1,2
2020-06-07,Associated Press,1,3
2020-06-07,Census Bureau,1,4
2020-06-07,District Court,1,5
2020-06-07,National Guard,1,6
2020-06-07,National Socialist Party,1,7
2020-06-07,National Socialists,1,8
2020-06-07,Spacex,1,9
2020-06-07,Supreme Court,1,10
2020-06-07,Twitter,1,11
2020-06-07,United States,1,12
2020-06-07,University Of Virginia,1,13
2020-06-07,Us Congress,1,14
2020-06-07,Us Supreme Court,1,15
2020-06-07,Washington Post,1,16
2020-06-07,White House,1,17
2020-06-07,Youtube,1,18
2020-06-13,Virginia Department Of Health,1,2
2020-06-13,Shenandoah National Park,3,1
